statement_id,statement_text,GroenLinks-PvdA,D66,CDA,SP,Partij voor de Dieren,ChristenUnie,Volt,BIJ1,Piratenpartij,Vrij Verbond,PVV,VVD,NSC,BBB,DENK,FvD,SGP,JA21,Vrede voor Dieren,BVNL,Libertaire Partij,50PLUS,FNP,De Linie
t01,De hypotheekrenteaftrekIcon moet worden afgeschaft.,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
t02,De politie moet bijhouden wie aanwezig is bij een demonstratie die door de burgemeester is verboden.,-1,-1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1
t03,Het minimumloonIcon voor volwassenen moet gelden vanaf 18 jaar. Dat is nu nog 21 jaar.,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1
t04,Lelystad Airport moet open voor commerciële luchtvaartIcon.,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,1,0,1,-1,1,1,-1,-1,1
t05,Gemeenten moeten zelf kunnen bepalen of ze statushoudersIcon voorrang geven op een sociale huurwoning.,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1
t06,De regering moet een leeftijdsgrens van 15 jaar instellen voor sociale mediaIcon.,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,-1,1,1,-1
t07,Nederland moet meer geld uitgeven aan ontwikkelingshulpIcon.,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,-1
t08,"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeën en andere organisaties die lesgeven op basis van levensbeschouwing.",1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,-1
t09,Huishoudens met een hoog inkomen moeten minder kinderbijslag krijgen.,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
t10,Er moet minder geld naar de publieke omroepIcon.,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1
t11,Nederland moet de Palestijnse staat zo snel mogelijk erkennen.,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1
t12,"Voor het eenmalig gebruik van plastic, zoals bekers en eetbakjes, betaal je extra. Die heffing moet verdwijnen.",-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t13,De huurprijs van een sociale huurwoningIcon mag de komende drie jaar niet harder stijgen dan de inflatieIcon.,1,1,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,-1,0,-1,1,-1,-1,1,1,1
t14,De regering moet meer geld uitgeven aan wetenschappelijk onderzoek.,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1
t15,Gemeenten en provincies moeten makkelijker een vergunning krijgen om wolven af te schieten die problemen veroorzaken.,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1
t16,De rechter moet mensen kunnen straffen door het dragen van een enkelband in plaats van een korte celstraf.,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,1,1,1
t17,"Als je werkloos wordt, moet je maximaal 12 maanden WWIcon krijgen. Dat is nu nog 24 maanden.",-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1
t18,De regering moet ervoor zorgen dat er in 2030 minstens de helft minder stikstofIcon in de lucht komt ten opzichte van 2019.,1,1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1
t19,Abortus moet uit het Wetboek van StrafrechtIcon.,1,1,-1,1,1,-1,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1
t20,Verhoging van het minimumloonIcon moet niet langer automatisch leiden tot verhoging van de bijstandsuitkering.,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1
t21,De hoeveelheid vee in Nederland moet met minstens de helft omlaag.,1,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1
t22,Illegaal verblijf in Nederland moet strafbaar worden.,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,-1,1
t23,In plaats van belasting te betalen voor het bezit van een auto moeten automobilisten per gereden kilometer gaan betalen.,1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1
t24,Het eigen risico bij zorgverzekeringenIcon wordt per 2027 gehalveerd. Dat moet worden teruggedraaid.,-1,1,1,-1,-1,1,1,-1,-1,1,-1,1,0,-1,-1,-1,1,1,-1,1,-1,-1,1,-1
t25,Psychisch lijden mag geen reden zijn voor euthanasieIcon.,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1
t26,De regering moet het bouwen van woningen op landbouwgrond makkelijker maken.,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,1
t27,Er moet een wet komen waarin staat dat de overheid nooit de afkomst of nationaliteit van mensen mag gebruiken om risico’s op criminaliteit in te schatten.,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1
t28,De minimumleeftijd voor sekswerkIcon moet omhoog van 18 naar 21 jaar.,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,1,1,1,1,1,-1,1,1,1
t29,"Nederland moet in een wet vastleggen dat uiterlijk in 2035 ten minste 3,5 procent van het bruto binnenlands productIcon aan defensie wordt uitgegeven.",-1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
t30,Er moeten meer kerncentralesIcon komen in Nederland.,-1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,0,1,1,1,-1,1,1,1,-1,1
